ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q301a8b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a9,1,,Yes,?,,,,,,,,,,,,,
q301a9,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a9b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a9b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a9b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a9b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a10,1,,Yes,?,,,,,,,,,,,,,
q301a10,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a10b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a10b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a10b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a10b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a11,1,,Yes,?,,,,,,,,,,,,,
q301a11,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a11b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a11b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a11b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a11b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a12,1,,Yes,?,,,,,,,,,,,,,
q301a12,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a12b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
